KEY_TO_RAW,HIGHER_GEOG,CONTINENT_OCEAN,COUNTRY,STATE_PROV,COUNTY,QUAD,FEATURE,ISLAND_GROUP,ISLAND,SEA,municipality
",Africa,,,",Africa,Africa,,,,,,,,,
",Africa?,,,",Africa,Africa,,,,,,,,,
"Africa,,,,",Africa,Africa,,,,,,,,,
"Africa,Africa,,,",Africa,Africa,,,,,,,,,
"Africa,Canary Islands,,,","Atlantic Ocean, Spain, Canary Islands",Atlantic Ocean,Spain,Canary Islands,,,,,,,
",[Algeria],,,","Africa, Algeria",Africa,Algeria,,,,,,,,
",Algeria,,,","Africa, Algeria",Africa,Algeria,,,,,,,,
"Africa,Algeria,,,","Africa, Algeria",Africa,Algeria,,,,,,,,
",Algeria,,,Algiers","Africa, Algeria, al-Jaza'ir Wilayat",Africa,Algeria,al-Jaza'ir Wilayat,,,,,,,Algiers
"Algeria,,,,Algiers","Africa, Algeria, al-Jaza'ir Wilayat",Africa,Algeria,al-Jaza'ir Wilayat,,,,,,,Algiers
",Algeria,Algiers,,","Africa, Algeria, al-Jaza'ir Wilayat",Africa,Algeria,al-Jaza'ir Wilayat,,,,,,,Algiers
"Africa,Central African Republic,,,","Africa, Central African Republic",Africa,Central African Republic,,,,,,,,
",Congo,,,","Africa, Democratic Republic of the Congo",Africa,Democratic Republic of the Congo,,,,,,,,
"Belgian Congo [Democratic Republic of Congo],,,,","Africa, Democratic Republic of the Congo",Africa,Democratic Republic of the Congo,,,,,,,,
"Africa,Zaire [Democratic Republic of the Congo],Katanga,,","Africa, Democratic Republic of the Congo, Katanga",Africa,Democratic Republic of the Congo,Katanga,,,,,,,
"Africa,Zaire [Democratic Republic of the Congo],[North] Kivu,,Goma","Africa, Democratic Republic of the Congo, North Kivu",Africa,Democratic Republic of the Congo,North Kivu,,,,,,,Goma
"Africa,Zaire [Democratic Repubulic of the Congo],Shaba,,","Africa, Democratic Republic of the Congo, Katanga",Africa,Democratic Republic of the Congo,Shaba,,,,,,,
",Egypt,,,","Africa, Egypt",Africa,Egypt,,,,,,,,
"Africa,Egypt,,,","Africa, Egypt",Africa,Egypt,,,,,,,,
",Egypt,,,Alexandria","Africa, Egypt, Alexandria Governorate",Africa,Egypt,Alexandria Governorate,,,,,,,Alexandria
"Africa,Egypt,,,Alexandria","Africa, Egypt, Alexandria Governorate",Africa,Egypt,Alexandria Governorate,,,,,,,Alexandria
"Africa,Egypt,,,Cairo","Africa, Egypt, Cairo Governorate",Africa,Egypt,Cairo Governorate,,,,,,,Cairo
",Egypt,,,Philae","Africa, Egypt, Aswan Governorate",Africa,Egypt,Aswan Governorate,,,,,,,Philae
"Africa,Gabon,,,","Africa, Gabon",Africa,Gabon,,,,,,,,
"Africa,Gambia,,,","Africa, Gambia",Africa,Gambia,,,,,,,,
",Kenya,,,","Africa, Kenya",Africa,Kenya,,,,,,,,
"Africa,Kenya,,,","Africa, Kenya",Africa,Kenya,,,,,,,,
"Kenya,,,,","Africa, Kenya",Africa,Kenya,,,,,,,,
"Africa,Kenya,,,Kericho","Africa, Kenya",Africa,Kenya,,,,,,,,Kericho
"Africa,Kenya,,,Kilifi","Africa, Kenya",Africa,Kenya,,,,,,,,Kilifi
",Kenya,,,Mombasa","Africa, Kenya",Africa,Kenya,,,,,,,,Mombasa
"Africa,Kenya,,,Nairobi","Africa, Kenya, Nairobi Province",Africa,Kenya,Nairobi Province,,,,,,,Nairobi
"Africa,Kenya,,,Nayahururu","Africa, Kenya",Africa,Kenya,,,,,,,,Nayahururu
"Africa,Kenya,,,Njoro","Africa, Kenya",Africa,Kenya,,,,,,,,Njoro
"Africa,Kenya,,,Sigor","Africa, Kenya, West Pokot",Africa,Kenya,West Pokot,,,,,,,Sigor
"Africa,Kenya,,,Voi","Africa, Kenya",Africa,Kenya,,,,,,,,Voi
"Africa,Kenya,,,Wamba","Africa, Kenya, North Eastern Province",Africa,Kenya,Northeastern Province,,,,,,,Wamba
"Africa,Kenya,,Kajiado,Ngong","Africa, Kenya, Kajiado",Africa,Kenya,Kajiado,,,,,,,Ngong
"Africa,Kenya,Nairobi,,","Africa, Kenya, Nairobi Province",Africa,Kenya,Nairobi Province,,,,,,,
"Africa,Kenya,Nairobi,,Nairobi","Africa, Kenya, Nairobi Province",Africa,Kenya,Nairobi Province,,,,,,,Nairobi
"Africa,Kenya,North Eastern Province,,","Africa, Kenya, North Eastern Province",Africa,Kenya,Northeastern Province,,,,,,,
"Africa,Kenya,Northeastern Province,,Wamba","Africa, Kenya, North Eastern Province",Africa,Kenya,Northeastern Province,,,,,,,Wamba
"Africa,Kenya,North Eastern Province,,Wamba","Africa, Kenya, North Eastern Province",Africa,Kenya,Northeastern Province,,,,,,,Wamba
",Kenya,Nyanza,,","Africa, Kenya, Nyanza",Africa,Kenya,Nyanza,,,,,,,
"Africa,Kenya,Pokot,Kongelai,Kongelai","Africa, Kenya, West Pokot",Africa,Kenya,West Pokot,,,,,,,Kongelai
"Africa,Kenya,West Pokot,,Kappenguria","Africa, Kenya, West Pokot",Africa,Kenya,West Pokot,,,,,,,Kappenguria
"Africa,Kenya,West Pokot,,Sigor","Africa, Kenya, West Pokot",Africa,Kenya,West Pokot,,,,,,,Sigor
",Liberia,,,","Africa, Liberia",Africa,Liberia,,,,,,,,
"Liberia,,,,","Africa, Liberia",Africa,Liberia,,,,,,,,
",Libia ?,,,","Africa, Libya",Africa,Libya,,,,,,,,
",Madagascar,,,","Africa, Madagascar, Madagascar",Africa,Madagascar,,,,,,Madagascar,,
"Africa,Madagascar,,,","Africa, Madagascar, Madagascar",Africa,Madagascar,,,,,,Madagascar,,
"Madagascar,,,,","Africa, Madagascar, Madagascar",Africa,Madagascar,,,,,,Madagascar,,
",Madagascar,,,Rogez","Africa, Madagascar, Madagascar",Africa,Madagascar,,,,,,Madagascar,,Rogez
",Madagascar,,,Sandrangato","Africa, Madagascar, Madagascar",Africa,Madagascar,,,,,,Madagascar,,Sandrangato
",Madagascar,Antananarivo,,Ambatolampy","Africa, Madagascar, Antananarivo, Madagascar",Africa,Madagascar,Antananarivo,,,,,Madagascar,,Ambatolampy
",Madagascar,Fianarantsoa,,Ambatofitorahana","Africa, Madagascar, Fianarantsoa, Madagascar",Africa,Madagascar,Fianarantsoa,,,,,Madagascar,,Ambatofitorahana
",Madagascar,Fianarantsoa,,[Ankafina-]Tsarafidy","Africa, Madagascar, Fianarantsoa, Madagascar",Africa,Madagascar,Fianarantsoa,,,,,Madagascar,,Ankafina-Tsarafidy
",Madagascar,Mahajanga,,Antsalova","Africa, Madagascar, Mahajanga, Madagascar",Africa,Madagascar,Mahajanga,,,,,Madagascar,,Antsalova
"Africa,Madagascar,Toliara,,Berenty","Africa, Madagascar, Atsimo-Andrefana, Madagascar",Africa,Madagascar,Atsimo-Andrefana,,,,,Madagascar,,Berenty
",Madagascar,Toliara,,Sakahara","Africa, Madagascar, Atsimo-Andrefana, Madagascar",Africa,Madagascar,Atsimo-Andrefana,,,,,Madagascar,,Toliara
",Mauritius,,,","Indian Ocean, Mauritius, Mascarene Islands, Mauritius",Indian Ocean,Mauritius,,,,,Mascarene Islands,Mauritius,,
",Morocco,,,Tangier","Africa, Morocco",Africa,Morocco,,,,,,,,Tangier
"Morocco,,,,Tangier","Africa, Morocco",Africa,Morocco,,,,,,,,Tangier
"Africa,Mozambique,,,","Africa, Mozambique",Africa,Mozambique,,,,,,,,
",Namibia,Oshikoto,,","Africa, Namibia, Oshikoto Region",Africa,Namibia,Oshikoto Region,,,,,,,
"Africa,Nigeria,,,","Africa, Nigeria",Africa,Nigeria,,,,,,,,
",Senegal,,,","Africa, Senegal",Africa,Senegal,,,,,,,,
"Africa,Senegal,,,","Africa, Senegal",Africa,Senegal,,,,,,,,
",South Africa,,,","Africa, South Africa",Africa,South Africa,,,,,,,,
"Africa,South Africa,,,","Africa, South Africa",Africa,South Africa,,,,,,,,
"South Africa,,,,","Africa, South Africa",Africa,South Africa,,,,,,,,
",South Africa,,,Cape Town","Africa, South Africa, Western Cape Province",Africa,South Africa,Western Cape Province,,,,,,,Cape Town
",South Africa,,,Johannesburg","Africa, South Africa, Gauteng Province",Africa,South Africa,Gauteng Province,,,,,,,Johannesburg
",South Africa,,,Kimberley","Africa, South Africa, Northern Cape",Africa,South Africa,Northern Cape,,,,,,,Kimberley
",South Africa,Gauteng,,[Johannesburg]","Africa, South Africa, Gauteng Province",Africa,South Africa,Gauteng Province,,,,,,,Johannesburg
",South Africa,Gauteng,,Randburg","Africa, South Africa, Gauteng Province",Africa,South Africa,Gauteng Province,,,,,,,Randburg
",South Africa,Transvaal [Now Limpopo],,Warmbad [now Bella-Bella]","Africa, South Africa, Limpopo",Africa,South Africa,Limpopo,,,,,,,Warmbad now Bella-Bella
",South Africa,Mpumalanga,,","Africa, South Africa, Mpumalanga",Africa,South Africa,Mpumalanga,,,,,,,
",South Africa,North Cape,,Kimberley","Africa, South Africa, Northern Cape",Africa,South Africa,Northern Cape,,,,,,,Kimberley
",South Africa,[Northern Cape],,Kimberley","Africa, South Africa, Northern Cape",Africa,South Africa,Northern Cape,,,,,,,Kimberley
",South Africa,North West,,Rustenburg","Africa, South Africa, North West Province",Africa,South Africa,North West Province,,,,,,,Rustenburg
",South Africa,North West,,Vryburg","Africa, South Africa, North West Province",Africa,South Africa,North West Province,,,,,,,Vryburg
"Africa,South Africa,Transvaal,,","Africa, South Africa, Transvaal",Africa,South Africa,Transvaal,,,,,,,
"Africa,Tanzania,,,","Africa, Tanzania",Africa,Tanzania,,,,,,,,
"Africa,Tanzania,,,Arusha","Africa, Tanzania, Arusha Region",Africa,Tanzania,Arusha Region,,,,,,,Arusha
",Tanzania,,,Dar-es-Salaam","Africa, Tanzania, Dar es Salaam Region",Africa,Tanzania,Dar es Salaam Region,,,,,,,Dar-es-Salaam
"Africa,Tanzania,,,Fort Ikoma","Africa, Tanzania",Africa,Tanzania,,,,,,,,Fort Ikoma
",Zanzibar,,,","Africa, Tanzania, Zanzibar, Zanzibar Archipelago",Africa,Tanzania,Zanzibar,,,,Zanzibar Archipelago,,,
"Africa,Togo,,,","Africa, Togo",Africa,Togo,,,,,,,,
",Tunisia,,,Tunis","Africa, Tunisia",Africa,Tunisia,,,,,,,,Tunis
",Uganda,,,","Africa, Uganda",Africa,Uganda,,,,,,,,
"Africa,Uganda,,,Kabale","Africa, Uganda, Western Region, Kabale District",Africa,Uganda,Western Region,Kabale District,,,,,,Kabale
"Africa,Uganda,,,Kabali","Africa, Uganda, Western Region, Kabale District",Africa,Uganda,Western Region,Kabale District,,,,,,Kabali
"Africa,Zambia,,,","Africa, Zambia",Africa,Zambia,,,,,,,,
",Zimbabwe,,,","Africa, Zimbabwe",Africa,Zimbabwe,,,,,,,,
"Africa,Zimbabwe,,,","Africa, Zimbabwe",Africa,Zimbabwe,,,,,,,,
",Borneo,,,","Asia, Borneo, Indonesian Archipelago",Asia,Borneo,,,,,Indonesian Archipelago,,,
"Asia,,,,",Asia,Asia,,,,,,,,,
"Asia,Asia,,,",Asia,Asia,,,,,,,,,
"Asia,Borneo,,,","Asia, Borneo, Indonesian Archipelago",Asia,Borneo,,,,,Indonesian Archipelago,,,
",China,,,","Asia, China",Asia,China,,,,,,,,
",CHINA,,,","Asia, China",Asia,China,,,,,,,,
",People's Democratic Republic of China,,,","Asia, China",Asia,China,,,,,,,,
"Asia,China,,,","Asia, China",Asia,China,,,,,,,,
"China,,,,","Asia, China",Asia,China,,,,,,,,
",China,,,Canton","Asia, China, Guangdong Province",Asia,China,Guangdong Province,,,,,,,Canton
",China,,,Chefoo (Yantai)","Asia, China, Shandong Province",Asia,China,Shandong Province,,,,,,,Yantai [Historically Chefoo]
",China,,,""Chengtu""","Asia, China, Sichuan Province",Asia,China,Sichuan Province,,,,,,,Chengdu
",China,,,Hong Kong","Asia, China, Hong Kong, Hong Kong Island",Asia,China,Hong Kong,,,,,Hong Kong Island,,Hong Kong
",China,,,Muchan","Asia, China, Guangxi Zhuang Autonomous Region",Asia,China,Guangxi Zhuang Autonomous Region,,,,,,,Muchan
",China,,,Nanjing","Asia, China, Jiangsu Province",Asia,China,Jiangsu Province,,,,,,,Nanjing
",China,,,Peking","Asia, China, Beijing Municipality",Asia,China,Beijing Municipality,,,,,,,Peking (Beijing)
",China,,Dalian,Lushunkou","Asia, China, Liaoning Province",Asia,China,Liaoning Province,,,,,,,"Lushunkou, Dalian"
"Asia,China,Annam,,Quanapri","Asia, China, Annam",Asia,China,Annam,,,,,,,Quanapri
"Asia,China,Canton,,","Asia, China, Guangdong Province",Asia,China,Guangdong Province,,,,,,,Canton
"Asia,China,Hunan,,","Asia, China, Hunan",Asia,China,Hunan,,,,,,,
",China,Jiangsu Province,,Zhenjiang","Asia, China, Jiangsu Province",Asia,China,Jiangsu Province,,,,,,,Zhenjiang
"Asia,East Indes,,,",Asia,Asia,,,,,,,,,
"Asia,East Indies,,,",Asia,Asia,,,,,,,,,
",India,,,","Asia, India",Asia,India,,,,,,,,
"Asia,India,,,","Asia, India",Asia,India,,,,,,,,
"India,,,,","Asia, India",Asia,India,,,,,,,,
"Asia,India,,,Bombay","Asia, India, Maharashtra",Asia,India,Maharashtra,,,,,,,Bombay
",India,,,Madras [Chennai]","Asia, India, Tamil Nadu",Asia,India,Tamil Nadu,,,,,,,Madras Chennai
",India,Kerala,Quilon District,,","Asia, India, Kerala, Kollam",Asia,India,Kerala,Kollam,,,,,,
"Asia,India,Madras,,","Asia, India, Tamil Nadu",Asia,India,Tamil Nadu,,,,,,,Madras
",India,Maharashtra,,","Asia, India, Maharashtra",Asia,India,Maharashtra,,,,,,,
"Asia,India,Maharashtra,,Mumbai","Asia, India, Maharashtra",Asia,India,Maharashtra,,,,,,,Mumbai
",India,[Maharashtra],,[Pune]","Asia, India, Maharashtra",Asia,India,Maharashtra,,,,,,,Pune
",India,Maharashtra,,Pune","Asia, India, Maharashtra",Asia,India,Maharashtra,,,,,,,Pune
"India,National Capitol Territory of Dehli,,,","Asia, India, Delhi",Asia,India,National Capitol Territory of Dehli,,,,,,,
",Nicobar Islands,,,","Asia, India, Andaman and Nicobar Islands, Nicobar Islands",Asia,India,Andaman and Nicobar Islands,,,,Nicobar Islands,,,
"Asia,India,Pondicherry,,","Asia, India, Puducherry",Asia,India,Pondicherry,,,,,,,
"Asia,India,Pondicherry State,,","Asia, India, Puducherry",Asia,India,Pondicherry,,,,,,,
"Asia,India,Puducherry,,Karaikal","Asia, India, Puducherry",Asia,India,Pondicherry,,,,,,,Karaikal
",India,Tamil Nadu,,","Asia, India, Tamil Nadu",Asia,India,Tamil Nadu,,,,,,,
",India,Tamil Nadu,,Madras","Asia, India, Tamil Nadu",Asia,India,Tamil Nadu,,,,,,,Madras
"Asia,India,Tamil Nadu,,Madras [Chennai]","Asia, India, Tamil Nadu",Asia,India,Tamil Nadu,,,,,,,Madras Chennai
"Asia,India,Tamil Nadu,,Thiruvannamalai","Asia, India, Tamil Nadu",Asia,India,Tamil Nadu,,,,,,,Thiruvannamalai
"Asia,India,Uttar Pradesh,,","Asia, India, Uttar Pradesh",Asia,India,Uttar Pradesh,,,,,,,
"India,Uttar Pradesh,,,Agra","Asia, India, Uttar Pradesh",Asia,India,Uttar Pradesh,,,,,,,Agra
",Indonesia,,,","Asia, Indonesia, Indonesian Archipelago",Asia,Indonesia,,,,,Indonesian Archipelago,,,
",indonesia?,,,","Asia, Indonesia, Indonesian Archipelago",Asia,Indonesia,,,,,Indonesian Archipelago,,,
"Asia,Indonesia,,,","Asia, Indonesia, Indonesian Archipelago",Asia,Indonesia,,,,,Indonesian Archipelago,,,
"Asia,Indonesia,\,,","Asia, Indonesia, Indonesian Archipelago",Asia,Indonesia,,,,,Indonesian Archipelago,,,
"Indonesia,,,,","Asia, Indonesia, Indonesian Archipelago",Asia,Indonesia,,,,,Indonesian Archipelago,,,
"Asia,Indonesia,,,Amboina","Asia, Indonesia, Maluku, Indonesian Archipelago, Amboina Island",Asia,Indonesia,Maluku,,,,Indonesian Archipelago,Amboina Island,,Amboina
",Indonesia,Bali,,Ilaga","Asia, Indonesia, Bali, Indonesian Archipelago, Bali",Asia,Indonesia,Bali,,,,Indonesian Archipelago,Bali,,Ilaga
",Indonesia,Java,,","Asia, Indonesia, Indonesian Archipelago, Java",Asia,Indonesia,Java,,,,Indonesian Archipelago,Java,,
",Java,,,","Asia, Indonesia, Indonesian Archipelago, Java",Asia,Indonesia,Java,,,,Indonesian Archipelago,Java,,
"[Indonesia],Java,,,","Asia, Indonesia, Indonesian Archipelago, Java",Asia,Indonesia,Java,,,,Indonesian Archipelago,Java,,
"Asia,Indonesia,Java Island,,","Asia, Indonesia, Indonesian Archipelago, Java",Asia,Indonesia,Java,,,,Indonesian Archipelago,Java,,
"Indonesia,Java,,,","Asia, Indonesia, Indonesian Archipelago, Java",Asia,Indonesia,Java,,,,Indonesian Archipelago,Java,,
"Asia,Indonesia,Maluku,,","Asia, Indonesia, Maluku, Indonesian Archipelago",Asia,Indonesia,Maluku,,,,Indonesian Archipelago,,,
"Asia,Indonesia,Maluku,Ambon Island,","Asia, Indonesia, Maluku, Indonesian Archipelago, Amboina Island",Asia,Indonesia,Maluku,,,,Indonesian Archipelago,Amboina Island,,
"Asia,Indonesia,North Maluku Province,,","Asia, Indonesia, North Maluku, Indonesian Archipelago, Maluku Islands",Asia,Indonesia,North Maluku,,,,Indonesian Archipelago,,,
"Asia,Indonesia,Sulawesi,,","Asia, Indonesia, Indonesian Archipelago, Sulawesi",Asia,Indonesia,,,,,Indonesian Archipelago,Sulawesi,,
",Iran,,,","Asia, Iran",Asia,Iran,,,,,,,,
",Persia,,,","Asia, Iran",Asia,Iran,,,,,,,,
"Asia,Iran [originallyPersia on label],Isfahan,,Kashan","Asia, Iran, Es Fahan Province",Asia,Iran,Es Fahan Province,,,,,,,Kashan
",Iran,Khuzistan,,","Asia, Iran, Khuzestan Province",Asia,Iran,Khuzistan,,,,,,,
",[Iran],[Kurdistan],,","Asia, Iran, Kordestan Province",Asia,Iran,Kordestan Province,,,,,,,
",Israel,,,","Asia, Israel",Asia,Israel,,,,,,,,
"Asia,Israel,,,","Asia, Israel",Asia,Israel,,,,,,,,
"Israel,,,,","Asia, Israel",Asia,Israel,,,,,,,,
"Middle East,Israel,,,","Asia, Israel",Asia,Israel,,,,,,,,
"Asia,Israel,,,Tel Aviv","Asia, Israel, Tel Aviv District",Asia,Israel,Tel Aviv District,,,,,,,Tel Aviv
",Israel,,,Tel-Aviv","Asia, Israel, Tel Aviv District",Asia,Israel,Tel Aviv District,,,,,,,Tel-Aviv
",Japan,,,","Asia, Japan",Asia,Japan,,,,,,,,
",Japan [?],,,","Asia, Japan",Asia,Japan,,,,,,,,
"Asia,Japan,,,","Asia, Japan",Asia,Japan,,,,,,,,
"Japan,,,,","Asia, Japan",Asia,Japan,,,,,,,,
",Japan,,,Beppu","Asia, Japan, Oita Prefecture, Kyushu",Asia,Japan,Oita Prefecture,,,,,Kyushu,,Beppu
"Asia,Japan,,,Ishigaki","Asia, Japan, Okinawa Prefecture, Ryukyu Islands, Ishigaki Island",Asia,Japan,Okinawa Prefecture,,,,Ryukyu Islands,Ishigaki Island,,Ishigaki
",Japan,,,Kiryu","Asia, Japan",Asia,Japan,,,,,,,,Kiryu
"Asia,Japan,,,Kyoto","Asia, Japan, Yamashiro Province, Honshu",Asia,Japan,Yamashiro Province,,,,,Honshu,,Kyoto
"Asia,Japan,,,Niitsu","Asia, Japan, Niigata Prefecture, Honshu",Asia,Japan,Niigata Prefecture,,,,,Honshu,,Niitsu
"Asia,Japan,,,Nikko","Asia, Japan, Shimotsuke Province, Honshu",Asia,Japan,Shimotruke,,,,,,,Nikko
"Asia,Japan,,,Shinano","Asia, Japan, Nagano Prefecture, Honshu",Asia,Japan,Nagano Prefecture,,,,,Honshu,,Shinano
",Japan,,,Tatoku","Asia, Japan",Asia,Japan,,,,,,,,Tatoku
",Japan,,,Tokyo","Asia, Japan, Tokyo Metropolis Prefecture",Asia,Japan,Tokyo Metropolis Prefecture,,,,,,,Tokyo
"Asia,Japan,,,Tokyo","Asia, Japan, Tokyo Metropolis Prefecture",Asia,Japan,Tokyo Metropolis Prefecture,,,,,,,Tokyo
"Asia,Japan,,,Ushibise","Asia, Japan",Asia,Japan,,,,,,,,Ushibise
",Japan,,,Yama","Asia, Japan, Fukushima Prefecture, Honshu",Asia,Japan,Fukushima Prefecture,,,,,Honshu,,Yama
",Japan,,,Yokohama","Asia, Japan, Kanagawa Prefecture, Honshu",Asia,Japan,Kanagawa Prefecture,,,,,,,Yokohama
"Japan,,,,Yokohama","Asia, Japan, Kanagawa Prefecture, Honshu",Asia,Japan,Kanagawa Prefecture,,,,,,,Yokohama
"Japan,Hokkaido Island,,,","Asia, Japan, Hokkaido Prefecture, Hokkaido",Asia,Japan,Hokkaido Island,,,,,,,
",Japan,Honshu (Island),,Shizuoka","Asia, Japan, Honshu",Asia,Japan,Honshu,,,,,,,Shizuoka
",Japan,Honshu Island,Gunma & Nagano Prefectures,,","Asia, Japan, Honshu",Asia,Japan,Honshu,,,,,,,
"Japan,Honshu Island,,Gunma Prefecture,","Asia, Japan, Gunma Prefecture, Honshu",Asia,Japan,Gunma Prefecture,,,,,Honshu,,
"Japan,Honshu Island,,Nagano Prefecture,","Asia, Japan, Nagano Prefecture, Honshu",Asia,Japan,Nagano Prefecture,,,,,Honshu,,
",Japan,Kanagawa Prefecture,,Yokohama","Asia, Japan, Kanagawa Prefecture, Honshu",Asia,Japan,Kanagawa Prefecture,,,,,,,Yokohama
"Asia,Japan,Sagami,,Kamakura","Asia, Japan, Sagami Province, Honshu",Asia,Japan,Sagami,,,,,,,Kamakura
"Asia,Japan,Shimotruke,,Nikko","Asia, Japan, Shimotsuke Province, Honshu",Asia,Japan,Shimotruke,,,,,,,Nikko
"Asia,Japan,Yamashiro,,Kyoto","Asia, Japan, Yamashiro Province, Honshu",Asia,Japan,Yamashiro Province,,,,,Honshu,,Kyoto
",Lebanon,,,","Asia, Lebanon",Asia,Lebanon,,,,,,,,
",Malaysia,,,","Asia, Malaysia",Asia,Malaysia,,,,,,,,
"Asia,Malaysia,,,","Asia, Malaysia",Asia,Malaysia,,,,,,,,
"Malaysia,,,,","Asia, Malaysia",Asia,Malaysia,,,,,,,,
"Malaysia,,,,Balu Gajah","Asia, Malaysia",Asia,Malaysia,,,,,,,,Balu Gajah
"Malaysia,,,,Bentong","Asia, Malaysia, Pahang, Indonesian Archipelago",Asia,Malaysia,Pahang,,,,,,,Bentong
"Malaysia,,,,Malim Newar","Asia, Malaysia",Asia,Malaysia,,,,,,,,Malim Newar
"Malaysia,,,,Teja","Asia, Malaysia",Asia,Malaysia,,,,,,,,Teja
"Malaysia,Johor,,,","Asia, Malaysia, Johor, Indonesian Archipelago",Asia,Malaysia,Johor,,,,,,,
"Asia,Malaysia,Negeri Sembilan,,Seremban","Asia, Malaysia, Negeri Sembilan, Indonesian Archipelago",Asia,Malaysia,Negeri Sembilan,,,,,,,Seremban
"Malaysia,Pahang,,,Bentong","Asia, Malaysia, Pahang, Indonesian Archipelago",Asia,Malaysia,Pahang,,,,,,,Bentong
",Malaysia,Perak,,","Asia, Malaysia, Perak, Indonesian Archipelago",Asia,Malaysia,Perak,,,,,,,
",Malaysia,Perak,,Gopeng","Asia, Malaysia, Perak, Indonesian Archipelago",Asia,Malaysia,Perak,,,,,,,Gopeng
",Malaysia,Perak,,Ipoh","Asia, Malaysia, Perak, Indonesian Archipelago",Asia,Malaysia,Perak,,,,,,,Ipoh
"Asia,Malaysia,Perak,,Ipoh","Asia, Malaysia, Perak, Indonesian Archipelago",Asia,Malaysia,Perak,,,,,,,Ipoh
",Malaysia,Sabah,,","Asia, Malaysia, Sabah, Indonesian Archipelago, Borneo",Asia,Malaysia,Sabah,,,,,,,
"Asia,Borneo,,,Sabah","Asia, Malaysia, Sabah, Indonesian Archipelago, Borneo",Asia,Malaysia,Sabah,,,,,,,Sabah
"Asia,Malaysia,Sabah,,Sandakan","Asia, Malaysia, Sabah, Indonesian Archipelago, Borneo",Asia,Malaysia,Sabah,,,,,,,Sandakan
"Asia,Mauritius Philippines,Rigal Province,,","Asia, Philippines, Rizal Province, Philippine Islands, Luzon",Asia,Mauritius Philippines,Rigal Province,,,,,,,
",Union of Myanmar,,,","Asia, Myanmar",Asia,Myanmar,,,,,,,,
"Asia,Burma,,,","Asia, Myanmar",Asia,Myanmar,,,,,,,,
",Palestine,,,","Asia, Palestine",Asia,Palestine,,,,,,,,
"Palestine,,,,","Asia, Palestine",Asia,Palestine,,,,,,,,
",Palestine,,,Galilee","Asia, Palestine",Asia,Palestine,,,,,,,,Galilee
",Palestine,,,Jerusalem","Asia, Palestine",Asia,Palestine,,,,,,,,Jerusalem
",Palestine,,,Judea","Asia, Palestine",Asia,Palestine,,,,,,,,Judea
",Palestine,,,Near Jerusalem","Asia, Palestine",Asia,Palestine,,,,,,,,Near Jerusalem
",,,Phillippines,","Asia, Philippines, Philippine Islands",Asia,Philippines,,,,,Philippine Islands,,,
",[philippines],,,","Asia, Philippines, Philippine Islands",Asia,Philippines,,,,,Philippine Islands,,,
",Philippines,,,","Asia, Philippines, Philippine Islands",Asia,Philippines,,,,,Philippine Islands,,,
",Phillipines,,,","Asia, Philippines, Philippine Islands",Asia,Philippines,,,,,Philippine Islands,,,
"Asia,Phiippines,,,","Asia, Philippines, Philippine Islands",Asia,Philippines,,,,,Philippine Islands,,,
"Asia,Philippines,,,","Asia, Philippines, Philippine Islands",Asia,Philippines,,,,,Philippine Islands,,,
"Asia,Phillipines,,,","Asia, Philippines, Philippine Islands",Asia,Philippines,,,,,Philippine Islands,,,
"Philippines,,,,","Asia, Philippines, Philippine Islands",Asia,Philippines,,,,,Philippine Islands,,,
",Philippines,,,Luzon","Asia, Philippines, Laguna Province, Philippine Islands, Luzon",Asia,Philippines,Laguna Province,,,,Philippine Islands,Luzon,,Luzon
",Philippines,,,Manila","Asia, Philippines, Manila Province, Philippine Islands, Luzon",Asia,Philippines,Manila Province,,,,Philippine Islands,Luzon,,Manila
"Asia,Phillipines,Cagayan Province,,","Asia, Philippines, Cagayan Valley, Cagayan, Philippine Islands",Asia,Philippines,Cagayan Province,,,,Philippine Islands,,,
"Asia,Phillipines,Laguna Province,,Calanan","Asia, Philippines, Laguna Province, Philippine Islands, Luzon",Asia,Philippines,Laguna Province,,,,Philippine Islands,Luzon,,Calauan
",Philippines,Laguna,,Pagsanjan","Asia, Philippines, Laguna Province, Philippine Islands, Luzon",Asia,Philippines,Laguna Province,,,,Philippine Islands,Luzon,,Pagsanjan
"Asia,Phillipines,Mindanai,,Ayala","Asia, Philippines, Davao del Sur Province, Philippine Islands, Mindanao",Asia,Philippines,Mindanai,,,,Philippine Islands,,,Ayala
"Asia,Phillipines,Principe Province,,","Asia, Philippines, Aurora Province, Philippine Islands, Luzon",Asia,Philippines,Aurora Province,,,,Philippine Islands,Luzon,,
"Asia,Phillipines,Rigal Province,,","Asia, Philippines, Rizal Province, Philippine Islands, Luzon",Asia,Philippines,Rigal Province,,,,Philippine Islands,,,
"Asia,Phillipines,Surigao Province,,","Asia, Philippines, Surigao Province, Philippine Islands",Asia,Philippines,Surigao Province,,,,Philippine Islands,,,
",Singapore,,,","Asia, Singapore",Asia,Singapore,,,,,,,,
"Singapore,,,,","Asia, Singapore",Asia,Singapore,,,,,,,,
",Korea,,,","Asia, South Korea",Asia,South Korea,,,,,,,,
"Asia,Korea,,,","Asia, South Korea",Asia,South Korea,,,,,,,,
",Korea,,,Seoul","Asia, South Korea",Asia,South Korea,,,,,,,,Seoul
