KEY_TO_RAW,HIGHER_GEOG,municipality
"Chicago Ridge, Cook Co., Ill [Illinois]","North America, United States, Illinois, Cook County",Chicago Ridge
"Chicago Ridge, IL","North America, United States, Illinois, Cook County",Chicago Ridge
"Chicago Ridge, Ill.","North America, United States, Illinois, Cook County",Chicago Ridge
"Chicago Ridge, Ill. [Illinois]","North America, United States, Illinois, Cook County",Chicago Ridge
"Chicago Ridge, Illinois","North America, United States, Illinois, Cook County",Chicago Ridge
"Chieming, Germany","Europe, Germany, Bavaria, Upper Bavaria",Chieming
"Chihuahua, Mex.","North America, Mexico, Chihuahua, Ocampo",Pinos Altos
"Chihuahua, Mexico","North America, Mexico, Chihuahua",
"Chihwahua, Mex.","North America, Mexico, Chihuahua",
Chile,"South America, Chile",
"Chilliwak Valley, British Columbia","North America, Canada, British Columbia",Chilliwack
"Chino, Calif.","North America, United States, California, San Bernardino County",Chino
Chipp River,"North America, United States, Alaska",North Slope Borough
"Chipp River, Alaska","North America, United States, Alaska","North Slope Borough, Barrow"
"Chipp River, found in fishing net","North America, United States, Alaska",North Slope Borough
"Chipp River; Barrow, Alaska","North America, United States, Alaska","North Slope Borough, Barrow"
"Chiricahua Mountains, Arizona","North America, United States, Arizona, Cochise County",
"Chiricahua Mountains, Pinery Canon, Arizona","North America, United States, Arizona, Cochise County",
"Chiricahua Mt. Whitetail Canon. Alt. 5100, Cochise Co. Ariz.","North America, United States, Arizona, Cochise County",
"Chiricahua Mts., Ariz. Cochise Co.","North America, United States, Arizona, Cochise County",
"Chiricahua Mts., Mouth of Pinery Canyon, 5000', Cochise Co. Ariz.","North America, United States, Arizona, Cochise County",
Chiricahua Mts Ariz.,"North America, United States, Arizona, Cochise County",
"Churchill, Manitoba","North America, Canada, Manitoba",Churchill
"Churchill, Manitoba, Canada","North America, Canada, Manitoba",Churchill
"Cintelapa, Chis., Mexico","North America, Mexico, Chiapas",Cintalapa
"Circle, Alaska","North America, United States, Alaska","Yukon-Koyukuk Census Area, Circle"
city park,"North America, United States, Colorado, Denver County",Denver
City Park,"North America, United States, Colorado, Denver County",Denver
"city park, Denver Colo.","North America, United States, Colorado, Denver County",Denver
"Claremont, Los Angeles Co., Calif.","North America, United States, California, Los Angeles County",Claremont
"Clark and Division, Ill., Cook Co., Chicago","North America, United States, Illinois, Cook County",Chicago
Clarke Center,"North America, United States, Illinois, DeKalb County",
Clayton College,"North America, United States, Colorado, Denver County",Denver
Clear Creek,"North America, United States, Colorado, Clear Creek County",
"Clearing, Ill.","North America, United States, Illinois, Cook County",Chicago
"Clearing, Illinois","North America, United States, Illinois, Cook County",Chicago
Clear Lake,"North America, United States, South Dakota, Deuel County",Clear Lake
"Clear Lake, Calif.","North America, United States, California, Lake County",Clear Lake
"Clear Water, Fla.","North America, United States, Florida, Pinellas County",Clearwater
Cleburne,"North America, United States, Illinois, Franklin County",Cleburne
"Cleveland, O. [Ohio]","North America, United States, Ohio, Cuyahoga County",Cleveland
"Cleveland, Ohio","North America, United States, Ohio, Cuyahoga County",Cleveland
Clibourne,"North America, United States, Arkansas, Cleburne County",
Clibourne?,"North America, United States, Arkansas, Cleburne County",
"Clibourne Co., Ark.","North America, United States, Arkansas, Cleburne County",
"Clibourne Co., Arkansas","North America, United States, Arkansas, Cleburne County",
"Clibourne County, Arkansas","North America, United States, Arkansas, Cleburne County",
"Clinton, Va. [Virginia]","North America, United States, Virginia, Cumberland County",Clinton
"Coachella, Riverside Co., Calif.","North America, United States, California, Riverside County",Coachella
"Coalburgh [Coalburg], W. Va.","North America, United States, West Virginia, Kanawha County",Coalburg
Coast of Labrador,"North America, Canada, Newfoundland and Labrador",
Coast of Oregon,"North America, United States, Oregon",
coast of Texas,"North America, United States, Texas",
"Cobb's Island, Virginia","North America, United States, Virginia, Northampton County",Cobb's Island
"Cochin, North Battleford, Sask","North America, Canada, Saskatchewan","Cochin, North Battleford"
Cochise Co. Ariz.,"North America, United States, Arizona, Cochise County",
"Codes Cave, Blount Co. Tenn.","North America, United States, Tennessee, Blount County",Codes Cave
"Cold Brook Camp, San Gabrial Comm.","North America, United States, California, Los Angeles County",Azusa
Cold Creek,"North America, United States, Colorado",
"Coleraine Plantation, Camden County, Ga.: S.W. corner within 1 mile of St. Mary's River.","North America, United States, Georgia, Camden County",
"Colhour, Ill. [Illinois]","North America, United States, Illinois, Cook County",Colhour
collected from Norway Pine tree,"North America, United States, Wisconsin, Vilas County",Saint Germain
collected in Jack Pines,"North America, United States, Wisconsin, Vilas County",Saint Germain
collected near edge of spruce swamp,"North America, United States, Wisconsin, Vilas County",Saint Germain
"Collinson's Pt., 250 mi E Barrow, arctic coast","North America, United States, Alaska",North Slope Borough
"Collinson Point, Alaska","North America, United States, Alaska",North Slope Borough
"Collinson Pt, 250 mi E Barrow, Arctic coast","North America, United States, Alaska",North Slope Borough
Collinson Pt. Alaska; Arctic Alas.,"North America, United States, Alaska",North Slope Borough
"Colo., Conejos Co., Rio Conejos","North America, United States, Colorado, Conejos County",
"Colo., El Paso Co.","North America, United States, Colorado, El Paso County",
"Colo., Larimer Co., Loveland","North America, United States, Colorado, Larimer County",Loveland
"Colo. Mts, w. of Denver [Colorado Mountains, west of Denver]","North America, United States, Colorado",
Colorado,"North America, United States, Colorado",
Colorado: Adams Co.,"North America, United States, Colorado, Adams County",
Colorado: Canon City,"North America, United States, Colorado, Fremont County",Canyon City
Colorado: Deer Trail,"North America, United States, Colorado, Arapahoe County",Deer Trail
Colorado: Denver,"North America, United States, Colorado, Denver County",Denver
Colorado: Mt. Morrison,"North America, United States, Colorado, Jefferson County",Morrison
Colorado: Parker,"North America, United States, Colorado, Douglas County",Parker
Colorado?,"North America, United States, Colorado",
Colorado Mountains,"North America, United States, Colorado",
Colorado Mts,"North America, United States, Colorado",
"Colorado Springs, Colo","North America, United States, Colorado, El Paso County",Colorado Springs
"Colorado Springs, Colo.","North America, United States, Colorado, El Paso County",Colorado Springs
"Columbia River, 3 mi W Portland","North America, United States, Oregon, Mulnomah County",Portland
"Columbine, Graham Mt, Graham Co, Arizona","North America, United States, Arizona, Graham County",Old Columbine
Columbus Lake,"North America, United States, Illinois",
"Colville River, 60 miles from the Arctic Circle","North America, United States, Alaska",North Slope Borough
"Colville River, Alaska","North America, United States, Alaska",North Slope Borough
"Comax, B.C.","North America, Canada, British Columbia",Comox
"Comax, B.C., Canada","North America, United States",
"Comax, Vancouver B.C.","North America, Canada, British Columbia",Comox
"Comax B.C. Vancouver , ?en B.C.","North America, Canada, British Columbia",Comox
"Concepcion, Lower CA; Alt. 6000 ft","North America, Mexico, Baja California Sur",
Concord River,"North America, United States, Massachusetts, Middlesex County",Concord
"Concoutchon Island, Labrador","North America, Canada, Newfoundland and Labrador",
"Confluence, Pennsylvania","North America, United States, Pennsylvania, Somerset County",Confluence
"Congress Jct., Yavapai Co, Ariz.","North America, United States, Arizona, Yavapi County",Congress
Connell Ranch,"North America, United States, Colorado",
"Cook Co., Ill.","North America, United States, Illinois, Cook County",
"Cook Co., Ill [Illinois]","North America, United States, Illinois, Cook County",
Cook Co. Ill,"North America, United States, Illinois, Cook County",
Cook Co. Ill.,"North America, United States, Illinois, Cook County",
Cook Co. Ill. Chicago,"North America, United States, Illinois, Cook County",Chicago
Cook Co. Ill Barrington,"North America, United States, Illinois, Cook County",Barrington
"Cook County, Ill. [Illinois]","North America, United States, Illinois, Cook County",
Copahee Sound,"North America, United States, South Carolina, Charleston County",
"Copahee Sound, Capakee No. Car.","North America, United States, South Carolina, Charleston County",
"Copahee Sound (tag says ""Copahee Island"" - could be island in Copahee Sound; Copahee Island was not found)","North America, United States, South Carolina, Charleston County",
Copeland Lake,"North America, United States, Colorado, Boulder County",
"Corabelle, Franklin Co. Fla","North America, United States, Florida, Franklin County",Carrabelle
"Corcoran, Kings Co. Calif.","North America, United States, California, Kings County",Corcoran
"Corcoran's Pond, District of Columbia","North America, United States, District of Columbia, Washington County",
"Corinne, Bear River","North America, United States, Utah, Box Elder County",Corinne
Cormax - B.C.,"North America, Canada, British Columbia",Comox
"Corning, Calif.","North America, United States, California, Tehama County",Corning
Corona Colo,"North America, United States, Colorado, Grand County",
Coronados Islands,"North America, Mexico, Baja California, Islas Coronados",
"Corpus Christi, Tex.","North America, United States, Texas, Nueces County",Corpus Christi
Corpus Christi Tex.,"North America, United States, Texas, Nueces County",Corpus Christi
"Corson's Inlet, Cape May Co. N.J.","North America, United States, New Jersey, Cape May County",Corson Inlet
"Corvallis, Oreg.  Benton Co.","North America, United States, Oregon, Benton County",Corvallis
"Corvallis, Oregon","North America, United States, Oregon, Benton County",Corvallis
"Cottonwood Springs, Riverside Col, Calif.","North America, United States, California, Riverside County",
Coulhour,"North America, United States, Illinois, Cook County",Coulhour
Coulhour (Ill.) Ind.,"North America, United States, Illinois, Cook County",Coulhour
"Cowling, Wabash County, Illinois","North America, United States, Illinois, Wabash County",Cowling
Coyotes,"North America, Mexico, Durango",
"Coyotes, Mexico","North America, Mexico, Durango",
"Crescent City, Calif.","North America, United States, California, Del Norte County",Crescent City
"Cresent City, Calif.","North America, United States, California, Del Norte County",Crescent City
Crook Co. Wyo.,"North America, United States, Wyoming, Crook County",
Crystal City Tex.,"North America, United States, Texas, Zavala County",Crystal City
"Crystal Lake, Illinois","North America, United States, Illinois, McHenry County",Crystal Lake
"Cuberland, Maryland","North America, United States, Maryland, Allegany County",Cumberland
"Cucheverachi (?), Sonora Mex.","North America, Mexico, Sonora",
Cumberland,North America,
"Cumberland, Maryland","North America, United States, Maryland, Allegany County",Cumberland
Cumberland & Chicago,"North America, United States, Illinois, Cook County",Chicago
Currituck Sound,"North America, United States, North Carolina, Currituck County",Seagull
"Cyprus Swamp, Bidica River, LA","North America, United States, Louisiana, Tangipahoa Parish",
Dakota territory,"North America, United States, North Dakota, Cass County",Fargo
Dalmar Mt,"North America, United States, California, San Diego County",
Davis Sta,"North America, United States, Indiana, Starke County",Davis Sta
"Davis Station, Starke Co., Ind.","North America, United States, Indiana, Starke County",Davis Station
"Dayton, Ohio","North America, United States, Ohio, Montgomery County",Dayton
Deer Creek,"North America, United States, Colorado, Jefferson County",
"Deerfield, IL","North America, United States, Illinois, Cook County",Deerfield
"Deerfield, IL/ E. Toll","North America, United States, Illinois, Cook County",Deerfield
"Deerfield, Ill","North America, United States, Illinois, Cook County",Deerfield
"Deerfield, ILL","North America, United States, Illinois, Cook County",Deerfield
"Deerfield, Ill.","North America, United States, Illinois, Cook County",Deerfield
"Deerfield, Ill. Lake Co.","North America, United States, Illinois, Lake County",Deerfield
"Deerfield, Lake Co., Illinois","North America, United States, Illinois, Lake County",Deerfield
"Deerfield, Lake Co., Ills.","North America, United States, Illinois, Lake County",Deerfield
Deering,"North America, United States, Maine, Cumberland County",Portland
"Deer Park, Illinois","North America, United States, Illinois, Cook County",Deer Park
"Deertrail, Colo.","North America, United States, Colorado, Arapahoe County",Deer Trail
"Delavan, Walworth Co., Wis [Wisconsin]","North America, United States, Wisconsin, Walworth County",Delavan
"Delavan, Walworth Co., Wisconsin","North America, United States, Wisconsin, Walworth County",Delavan
"Delavan, WI","North America, United States, Wisconsin, Walworth County",Delavan
"Delavan, Wis.","North America, United States, Wisconsin, Walworth County",Delavan
"Delavan, Wis. [Wisconsin]","North America, United States, Wisconsin, Walworth County",Delavan
"Delavan, Wisc.","North America, United States, Wisconsin, Walworth County",Delavan
"Delevan, Wis.","North America, United States, Wisconsin, Walworth County",Delavan
"Delevan, Wisc","North America, United States, Wisconsin, Walworth County",Delavan
"Delevan, Wisc.","North America, United States, Wisconsin, Walworth County",Delavan
"Del Rio, Texas","North America, United States, Texas, Val Verde County",Del Rio
"Delton, Wis.","North America, United States, Wisconsin, Sauk County",Delton
"Dembrooke Twp. Near St. Anne, Kankakee Co, IL.","North America, United States, Illinois, Kankakee County",Saint Anne
"Demory Hill, Dixie Co., Fla","North America, United States, Florida, Dixie County",
Denmark,"Europe, Denmark",
Denmark: Sjaelland,"Europe, Denmark",
"Denver, CO","North America, United States, Colorado, Denver County",Denver
"Denver, Colorado","North America, United States, Colorado, Denver County",Denver
"Depine, Bureau Co. Ill.","North America, United States, Illinois, Bureau County",DePue
DesPlaines River,"North America, United States, Illinois",
Des Plaines River W of Deerfield,"North America, United States, Illinois, Cook County",Deerfield
"Destruction Island, NW Coast","North America, United States, Washington, Jefferson County",
Devils River,"North America, United States, Texas",
Dewees Isl,"North America, United States, South Carolina, Charleston County",Dewees Isl
"Diamond Lake, Ill. Lake Co.","North America, United States, Illinois, Lake County",Diamond Lake
Diana Club House Ind.,"North America, United States, Indiana, Newton County",Thayer
Diomede Island,"North America, United States, Alaska, Nome Quad",
Dome Creek,"North America, United States, Colorado, Garfield County",
"Donaji, Oax. Mex.","North America, Mexico, Oaxaca",Donaji
Donaji Oax. Mex.,"North America, Mexico, Oaxaca",Donaji
Door Twp.  McHenry Co. Ill. Door Township,"North America, United States, Illinois, McHenry County",
"Dos Cabesas Mts, Ariz.","North America, United States, Arizona, Cochise County",
"Dos Cabesas Mts., Ariz. [Arizona]","North America, United States, Arizona, Cochise County",
Dos Cabesas Mts.; Ariz.,"North America, United States, Arizona, Cochise County",
"Dos Cabezas Mts, Ariz. [Arizona]","North America, United States, Arizona, Cochise County",
"Dos Cabezos, Ariz.","North America, United States, Arizona, Cochise County",
"Dos Cabezos, Ariz. [Arizona]","North America, United States, Arizona, Cochise County",
Douglas B.C.,"North America, Canada, British Columbia",Port Douglas [?]
Dry Totugas,"North America, United States, Florida, Monroe County",
"Drytown, Calif.","North America, United States, California, Amador County",Drytown
"Dry Tundra, Wales Alaska","North America, United States, Alaska, Nome Quad",Wales
Dry Willow Creek,"North America, United States, Colorado, Yuma County",
"Dry Willow Creek, Colo. Yuma Co.","North America, United States, California, Yuma County",
"Dulzura, Calif.","North America, United States, California, San Diego County",Dulzura
Dulzura Calif,"North America, United States, California, San Diego County",Dulzura
Dulzura Co. Calif.,"North America, United States, California, San Diego County",Dulzura
Dune Park,"North America, United States, Indiana, Porter County",Deane Park
"Dune Park, Porter Co., Indiana","North America, United States, Indiana, Porter County",Dune Park
"Dune Park, Porter County, Indiana","North America, United States, Indiana, Porter County",Dune Park
Dunning,"North America, United States, Illinois, Cook County",Chicago
"DuPage Co. Wayne, Ill. [Illinois]","North America, United States, Illinois, DuPage County",Wayne
"DuPage river Lisle, Ill","North America, United States, Illinois, DuPage County",Lisle
"Durango, Mexico, 30 miles SW of Dur. Alt. 8000 ft","North America, Mexico, Durango",Durango
"Dyer, Ind.","North America, United States, Indiana, Lake County",Dyer
"East Cape, East Siberia","Asia, Russia",
East Hartford,"North America, United States, Connecticut, Hartford County",East Hartford
"Eastlake, Jefferson Co., Colo. [Eastlake, Jefferson County, Colorado. See remarks section.]","North America, United States, Colorado, Adams County",Eastlake
"east Las Vegas, N. Mex. [New Mexico]","North America, United States, New Mexico, San Miguel County",Las Vegas
East Tampa,"North America, United States, Florida, Hillsborough County",East Tampa
"East Whurny, Avery Isl. La.","North America, United States, Louisiana, Iberia Parish, Avery Island",Avery Island
E Barrington,"North America, United States, New Hampshire, Strafford County",Barrington
"Echo, El Dorado Co. Calif.","North America, United States, California, El Dorado County",Echo Lake
E coast of Texas,"North America, United States, Texas",
"Ecopavers [near loading dock], Nature Museum, 2430 North Cannon Drive, Chicago IL 60614","North America, United States, Illinois, Cook County",Chicago
"Ecuador, South America","South America, Ecuador",
"Eden, Clear Lk., S. Dak","North America, United States, South Dakota, Marshall County",Clear Lake and Eden
"Edge Hill, Reynolds, MO","North America, United States, Illinois, Lake County",Waukegan
"Edge Hill, Reynolds County, Missouri","North America, United States, Missouri, Reynolds County","Black River Township, Edge Hill"
"Edithton Beach [current name is Carol Beach], Wisc. Kenosha Co.","North America, United States, Wisconsin, Kenosha County",Pleasant Prairie
Effington,"North America, United States, Illinois, Effingham County",Effingham
Egger's,"North America, United States, Illinois, Cook County",Chicago
Egger's Woods,"North America, United States, Illinois, Cook County",Chicago
"Egger's Woods, Eggers, Ill. [Illinois]","North America, United States, Illinois, Cook County",Chicago
Eggers,"North America, United States, Illinois, Cook County",Chicago
"Eggers, I. [Illinois?]","North America, United States, Illinois, Cook County",Chicago
"Eggers, Ill.","North America, United States, Illinois, Cook County",Chicago
"Eggers, Ill. [Eggers Grove Forest Preserve]","North America, United States, Illinois, Cook County",Chicago
"Eggers, Ill. [Illinois]","North America, United States, Illinois, Cook County",Chicago
"Eggers, Ill. [Illinois] (see remarks)","North America, United States, Illinois, Cook County",Chicago
"Eggers, Ill [Illinois]","North America, United States, Illinois, Cook County",Chicago
"Eggers, Ind.","North America, United States, Illinois, Cook County",Chicago
"Eggers, Indiana","North America, United States, Illinois, Cook County",Chicago
Eggers [Eggers Grove Forest Preserve],"North America, United States, Illinois, Cook County",Chicago
Eggers [Eggers Woods Forest Preserve],"North America, United States, Illinois, Cook County",Chicago
"Eggers [Eggers Woods Forest Preserve], Ill. [Illinois]","North America, United States, Illinois, Cook County",Chicago
"Eggers [Eggers Woods Forest Preserve], Ill [Illinois]","North America, United States, Illinois, Cook County",Chicago
"Eggers [Woods], Ill.","North America, United States, Illinois, Cook County",Chicago
"Eggers [Woods], Ill. [Illinois]","North America, United States, Illinois, Cook County",Chicago
Eggers Grove Forest Preserve [Eggers],"North America, United States, Illinois, Cook County",Chicago
"Eggers Grove Forest Preserve [Eggers], Ind.","North America, United States, Illinois, Cook County",Chicago
Eggers Ind.,"North America, United States, Illinois, Cook County",Chicago
E Humboldt Mts.  Nevada,"North America, United States, Nevada, Elko County",
Elbert Co. Colo [Colorado],"North America, United States, Colorado, Elbert County",
"Elbow Cay, Bahamas","West Indies, Bahamas, Bahama Islands",
"Eleuthora, Bahamas","West Indies, Bahamas, Bahama Islands",
"Elgin, Illinois","North America, United States, Illinois, Cook County",Elgin
"Elmore Co., Alabama","North America, United States, Alabama, Elmore County",
"Elmore County, Alabama","North America, United States, Alabama, Elmore County",
"Elmwood Park, Ill.","North America, United States, Illinois, Cook County",Elmwood Park
"El Paso Co., Colo. [Colorado]","North America, United States, Colorado, El Paso County",
"Emerald Grove, Wis.","North America, United States, Wisconsin, Rock County",Emerald Grove
"Emma Harbor, Siberia","Asia, Russia",
England,"Europe, United Kingdom",
English Lake,"North America, United States, Illinois",
"English Lake, Ind.","North America, United States, Indiana, Starke County",English Lake
"English Lake, Indiana","North America, United States, Indiana, Starke County",English Lake
"English Lake, Starke Co., Ind","North America, United States, Indiana, Starke County",English Lake
English Twp,"North America, United States, Illinois, Jersey County",English Township
"Enterprise, Britte Co. Calif.","North America, United States, California, Butte County",
"Enterprise, CA, Butte Co.","North America, United States, California, Butte County",
"Enterprise, Fla.","North America, United States, Florida, Volusia County",Enterprise
E of Denver,"North America, United States, Colorado, Denver County",Denver
E of South Elgin,"North America, United States, Illinois, Cook County",Elgin
"Estelline, Hall Co., Tex [Texas]","North America, United States, Texas, Hall County",Estelline
Estradade,"North America, Mexico",
E Tampa,"North America, United States, Florida, Hillsborough County",East Tampa
Eurasia,no higher geography recorded,
Eureka-Calif.,"North America, United States, California, Humboldt County",Eureka
Europe,Europe,
"Evanston, Cook Co., Illinois","North America, United States, Illinois, Cook County",Evanston
"Evanston, Ill","North America, United States, Illinois, Cook County",Evanston
"Evanston, Ill.","North America, United States, Illinois, Cook County",Evanston
"Evanston, Ill. [Illinois]","North America, United States, Illinois, Cook County",Evanston
Evanston Ill,"North America, United States, Illinois, Cook County",Evanston
"Evantson, Ill.","North America, United States, Illinois, Cook County",Evanston
Fairfax Co. Virginia,"North America, United States, Virginia, Fairfax County",Fairfax
"Falfurrias, Tex.","North America, United States, Texas, Brooks County",Falfurrias
Fallen Leaf Calif. ?,"North America, United States, California, El Dorado County",Fallen Leaf
"Farallon Islands, California","North America, United States, California, San Francisco County",San Francisco
"Fargo, N. Dakota","North America, United States, North Dakota, Cass County",Fargo
Fargo N. Dakota,"North America, United States, North Dakota, Cass County",Fargo
Feeding on Tumach berries; Fort Walla Walla,"North America, United States, Washington, Walla Walla County","Walla Walla, Fort Walla Walla"
"Feehanville, Cook Co., Ill","North America, United States, Illinois, Cook County",Mount Prospect
"Finland, Rainy River District","North America, Canada, Ontario",Chapple
"Fish Canyon, Calif. Los Angeles Co.","North America, United States, California, Los Angeles County",Azusa
"Fla., Levy Co., Bronson","North America, United States, Florida, Levy County",Bronson
"Fla., Monroe Co., Key West","North America, United States, Florida, Monroe County, Florida Keys, Key West",Key West
"Fla. Dry Tortugas, Rebecca shoals light","North America, United States, Florida, Monroe County",
Fla. Marathon,"North America, United States, Florida, Monroe County",Marathon
Flagstaff Arizona,"North America, United States, Arizona, Coconino County",Flagstaff
Flamingo,"North America, United States, Florida, Monroe County",Flamingo
"Flamingo, Cape Sable, Monroe County, Florida","North America, United States, Florida, Monroe County",Flamingo
"Flamingo, Fla","North America, United States, Florida, Monroe County",Flamingo
"Flamingo, Fla.","North America, United States, Florida, Monroe County",Flamingo
"Flamingo, Monre Co. Fla","North America, United States, Florida, Monroe County",Flamingo
"Flat Cr. 35 mi W High River, Alt 4500'","North America, Canada, Alberta, Calgary Region",High River
"Flat Creek 35 miles west of High River; Alt. 4,650 feet","North America, Canada, Alberta, Calgary Region",High River
Fletcher Lake,"North America, United States, Wisconsin, Marinette County",
Florida,"North America, United States, Florida",
"Florida, Dry Tortugas, Bush Key","North America, United States, Florida, Monroe County",
"Florida, Key West","North America, United States, Florida, Monroe County, Florida Keys, Key West",Key West
"Florida, Rebecca Shoals Light, Dry Tortugas","North America, United States, Florida, Monroe County",
flying along creek N of Deerfield,"North America, United States, Illinois, Cook County",Deerfield
Fog Island Sanctuary,"North America, Canada, Quebec",
foothills 40 mi SW Calgary,"North America, Canada, Alberta, Calgary Region",Calgary
"foothills northwest of Corvallis, Oregon","North America, United States, Oregon, Benton County",Corvallis
Forest Glen,"North America, United States, Illinois, Cook County",Chicago
"Forest Glen, Ill.","North America, United States, Illinois, Cook County",Chicago
"Forest View, Ill.","North America, United States, Illinois, Cook County",Forest View
"Forestview, Ill. [Illinois]","North America, United States, Illinois, Cook County",Forest View
Forrester Island,"North America, United States, Alaska, Alexander Archipelago, Prince of Wales Island",
Forret Vancouver,"North America, Canada, British Columbia, Vancouver Island, Vancouver Island",Vancouver
"Fort Bayard, N.M.","North America, Mexico, Guerrero","Santa Clara, Fort Bayard"
"Fort Bayard, N. M.","North America, Mexico, Guerrero","Santa Clara, Fort Bayard"
"Fort Bayard, N. Mex.","North America, Mexico, Guerrero","Santa Clara, Fort Bayard"
Fort Bayard N. Mex,"North America, Mexico, Guerrero","Santa Clara, Fort Bayard"
Fort Bayard N. Mex. Grant Co.,"North America, Mexico, Guerrero","Santa Clara, Fort Bayard"
"Fort Bayon, 6 miles northeast of Ocean Springs","North America, United States, Mississippi, Jackson County",Ocean Springs
Fort Bowie,"North America, United States, Arizona, Cochise County",
Fort Erie [in pencil: doubtless Ontario EAT],"North America, Canada, Ontario",Fort Erie
Fort Kenai,"North America, United States, Alaska, Kenai Quad",Kenai
"Fort Lowell, Ariz.","North America, United States, Arizona, Pima County",
"Fort Lowell, Ariz. [Arizona]","North America, United States, Arizona, Pima County",
"Fort Lowell, Arizona","North America, United States, Arizona, Pima County",
"Fort Lyon, Colo.","North America, United States, Colorado, Bent County",Las Animas
Fort Steilacoom Wash. Terr.,"North America, United States, Washington, Pierce County",Lakewood
"Fort Verde, Ariz.","North America, United States, Arizona, Yavapai County",Camp Verde
"Fort Verde, Arizona","North America, United States, Arizona, Yavapai County",Camp Verde
Fort Walla Walla,"North America, United States, Washington, Walla Walla County",Walla Walla
"Fort Wayne, Indiana","North America, United States, Indiana, Allen County",Fort Wayne
"Fort Yuma, Ariz.","North America, United States, Arizona, Yuma County",Yuma
Fouke Station,"North America, United States, Texas, Bowie County",Fouke Station [Historic]
found at alt of 1900 ft.,"North America, United States, Tennessee, Blount County",Cades Cove
"found at alt of 1900 ft.; Shellmound, Tenn.","North America, United States, Tennessee, Marion County",Shellmound
"Found at location #14, Nature Museum, 2430 North Cannon Drive, Chicago IL 60614","North America, United States, Illinois, Cook County",Chicago
"Found at location #2 above doors, Nature Museum, 2430 North Cannon Drive, Chicago IL 60614","North America, United States, Illinois, Cook County",Chicago
found at North Avenue Beach,"North America, United States, Illinois, Cook County",Chicago
"Found at ravine double glass doors by flower pots, Nature Museum, 2430 North Cannon Drive, Chicago IL 60614","North America, United States, Illinois, Cook County",Chicago
"Found at the ""bird sanctuary"" [Montrose?], Chicago, IL","North America, United States, Illinois, Cook County",Chicago
"Found by the large windows of the Ravine at the Nature Museum, 2430 North Cannon Drive, Chicago IL 60614","North America, United States, Illinois, Cook County",Chicago
"found dead, shot in Lincoln Park","North America, United States, Illinois, Cook County",Chicago
Found dead at Erie & Damen,"North America, United States, Illinois, Cook County",Chicago
found dead at Lincoln Park gun club,"North America, United States, Illinois, Cook County",Chicago
"found dead on beach, IN [Indiana] Dunes between Mineral Springs and Oak Hill","North America, United States, Indiana, Porter County",Porter
"found dead on beach Indiana, Gary","North America, United States, Indiana, Lake County",Gary
Found dead on Hibbard Rd at Kent Rd,"North America, United States, Illinois, Cook County",Winnetka
"found dead on highway.  Three Rivers, Mich","North America, United States, Michigan, Saint Joseph County",Three Rivers
Found in E.T.H.S. Athletic Field,"North America, United States, Illinois, Cook County",Evanston
"found in Lincoln Park, dead.  Illinois:  Cook Co. Chicago","North America, United States, Illinois, Cook County",Chicago
found in Loop,"North America, United States, Illinois, Cook County",Chicago
"Found location #5 Nature Museum, 2430 North Cannon Drive, Chicago IL 60614","North America, United States, Illinois, Cook County",Chicago
found lying on curb near laundromat,"North America, United States, Wisconsin, Vilas County",Eagle River
Found on County Frunk D. 1 mile S of Wis. River,"North America, United States, Wisconsin, Oneida County",Rhinelander
Found on Eco Paver Lot [at the Nature Museum],"North America, United States, Illinois, Cook County",Chicago
found on grounds at Nature Museum,"North America, United States, Illinois, Cook County",Chicago
"found on grounds at Nature Museum, west side","North America, United States, Illinois, Cook County",Chicago
"found on sidewalk next to hotel, 2200 N. Lincoln Pkwy.","North America, United States, Illinois, Cook County",Chicago
"Found outside of doors on the ravine, Nature Museum, 2430 North Cannon Drive, Chicago IL 60614","North America, United States, Illinois, Cook County",Chicago
"fox Island, Illinois River","North America, United States",
Fox Lake,"North America, United States, Wisconsin",
"Fox Lake, IL","North America, United States, Illinois, Lake County",Fox Lake
"Fox Lake, Ill.","North America, United States, Illinois, Lake County",Fox Lake
"Fox Lake, Ill. [Illinois]","North America, United States, Illinois, Lake County",Fox Lake
"Fox Lake, Ill [Illinois]","North America, United States, Illinois, Lake County",Fox Lake
"Fox Lake [Grant Township], Ill.","North America, United States, Illinois, Lake County",Fox Lake
"Fox Lake [Grant Township], Ill. [Illinois]","North America, United States, Illinois, Lake County",Fox Lake
"Fox River, near Cary, Ill","North America, United States, Illinois, McHenry County",Cary
Fredi Pond (?),"North America, United States, Massachusetts, Middlesex County",Cambridge
"French Island, Jasper Co, Indiana","North America, United States, Indiana, Jasper County",French Island
Fresh Pond,"North America, United States, Massachusetts, Middlesex County",Cambridge
"Frisco, N. Mexico","North America, United States, New Mexico, Catron County",Lower Frisco
"from mountains near rocks, Wales Alaska","North America, United States, Alaska, Nome Quad",Wales
"from note: ""Collected at the base of a concrete barrier wall on the north side of a bridge on the Stevenson Expressway (I-55). The bridge is immediately east of Cicero Ave., Exit 286 and passes over a set of North-South oriented rail-raod tracks. Chicago, Cook Co., IL, USA.","North America, United States, Illinois, Cook County",Chicago
"from tundra, amoung ponds, Wales Alaska","North America, United States, Alaska, Nome Quad",Wales
"from tundra, in grass, Wales Alaska","North America, United States, Alaska, Nome Quad",Wales
Frontera Tab. Mexico,"North America, Mexico",
