MEDIA_LICENSE,MIME_TYPE,MEDIA_TYPE,MEDIA_URI,MEDIA_LABEL_1,MEDIA_LABEL_VALUE_1,MEDIA_LABEL_2,MEDIA_LABEL_VALUE_2,MEDIA_LABEL_3,MEDIA_LABEL_VALUE_3
CC BY-NC-SA,image/dng,image,http://web.corral.tacc.utexas.edu/CAS/20161218-05/chas_mamm_4121.1.dng,made date,2014-01-16,subject,mammal,description,"View of specimen, entire."
CC BY-NC-SA,image/dng,image,http://web.corral.tacc.utexas.edu/CAS/20161218-05/chas_mamm_4121.2.dng,made date,2014-01-16,subject,mammal,description,"View of study skin, dorsal."
CC BY-NC-SA,image/dng,image,http://web.corral.tacc.utexas.edu/CAS/20161218-05/chas_mamm_4121.3.dng,made date,2014-01-16,subject,mammal,description,"View of study skin, ventral."
CC BY-NC-SA,image/dng,image,http://web.corral.tacc.utexas.edu/CAS/20161218-05/chas_mamm_4121.4.dng,made date,2014-01-16,subject,mammal,description,"View of study skin, lateral."
CC BY-NC-SA,image/dng,image,http://web.corral.tacc.utexas.edu/CAS/20161218-05/chas_mamm_4121.5.dng,made date,2014-01-16,subject,mammal,description,"View of cranium, dorsal."
CC BY-NC-SA,image/dng,image,http://web.corral.tacc.utexas.edu/CAS/20161218-05/chas_mamm_4121.6.dng,made date,2014-01-16,subject,mammal,description,"View of cranium, ventral."
CC BY-NC-SA,image/dng,image,http://web.corral.tacc.utexas.edu/CAS/20161218-05/chas_mamm_4121.7.dng,made date,2014-01-16,subject,mammal,description,View of mandible.
CC BY-NC-SA,image/dng,image,http://web.corral.tacc.utexas.edu/CAS/20161218-05/chas_mamm_4121.8.dng,made date,2014-01-16,subject,mammal,description,"View of cranium, lateral."
CC BY-NC-SA,image/dng,image,http://web.corral.tacc.utexas.edu/CAS/20161218-05/chas_mamm_4122.1.dng,made date,2014-01-16,subject,mammal,description,"View of specimen, entire."
CC BY-NC-SA,image/dng,image,http://web.corral.tacc.utexas.edu/CAS/20161218-05/chas_mamm_4122.2.dng,made date,2014-01-16,subject,mammal,description,"View of study skin, dorsal."
CC BY-NC-SA,image/dng,image,http://web.corral.tacc.utexas.edu/CAS/20161218-05/chas_mamm_4122.3.dng,made date,2014-01-16,subject,mammal,description,"View of study skin, ventral."
CC BY-NC-SA,image/dng,image,http://web.corral.tacc.utexas.edu/CAS/20161218-05/chas_mamm_4122.4.dng,made date,2014-01-16,subject,mammal,description,"View of study skin, lateral."
CC BY-NC-SA,image/dng,image,http://web.corral.tacc.utexas.edu/CAS/20161218-05/chas_mamm_4122.5.dng,made date,2014-01-16,subject,mammal,description,"View of cranium, dorsal."
CC BY-NC-SA,image/dng,image,http://web.corral.tacc.utexas.edu/CAS/20161218-05/chas_mamm_4122.6.dng,made date,2014-01-16,subject,mammal,description,"View of cranium, ventral."
CC BY-NC-SA,image/dng,image,http://web.corral.tacc.utexas.edu/CAS/20161218-05/chas_mamm_4122.7.dng,made date,2014-01-16,subject,mammal,description,View of mandible.
CC BY-NC-SA,image/dng,image,http://web.corral.tacc.utexas.edu/CAS/20161218-05/chas_mamm_4122.8.dng,made date,2014-01-16,subject,mammal,description,"View of cranium, lateral."
CC BY-NC-SA,image/dng,image,http://web.corral.tacc.utexas.edu/CAS/20161218-05/chas_mamm_4123.1.dng,made date,2014-01-16,subject,mammal,description,"View of specimen, entire."
CC BY-NC-SA,image/dng,image,http://web.corral.tacc.utexas.edu/CAS/20161218-05/chas_mamm_4123.2.dng,made date,2014-01-16,subject,mammal,description,"View of study skin, dorsal."
CC BY-NC-SA,image/dng,image,http://web.corral.tacc.utexas.edu/CAS/20161218-05/chas_mamm_4123.3.dng,made date,2014-01-16,subject,mammal,description,"View of study skin, ventral."
